English	LANGUAGE
Deep Learning Specialization	EVENT
Honors-Awards	EVENT
Quarterly Award Winner	WORK_OF_ART
2018	DATE
MIQ	ORG
Pradip Nichite
	PERSON
Top Rated Plus - NLP	WORK_OF_ART
AI Demos
	ORG
Mumbai	GPE
Maharashtra	GPE
India	GPE
a Top Rated Plus	WORK_OF_ART
NLP	ORG
100	MONEY
100%	PERCENT
2022	DATE
years	DATE
Data Science	WORK_OF_ART
2013	DATE
Bangalore	PERSON
2016 - 2018	DATE
MiQ	ORG
2018 - 2020	DATE
Oracle (2020 - 2022	ORG
FutureSmart AI	ORG
September 2022	DATE
AI	GPE
NLP	ORG
AI Demos	ORG
JavaScript	ORG
SQL	ORG
Transformers	ORG
LangChain	ORG
Streamlit	GPE
Anvil	GPE
AWS	PERSON
AI	GPE
FutureSmart AI	GPE
NLP	ORG
Freelance Data Scientist	PERSON
February 2022	DATE
1 year 6 months	DATE
https://www.upwork.com/freelancers/~014fdabc6436bf9bd4	CARDINAL
Successfully Completed Projects	WORK_OF_ART
1	CARDINAL
Text Classification	PRODUCT
2	CARDINAL
Aspect Based Sentiment Analysis	ORG
3	CARDINAL
4	CARDINAL
5	CARDINAL
6	CARDINAL
GPT-3	ORG
FutureSmart AI
	ORG
February 2022	DATE
1 year 6 months	DATE
2 years 1 month	DATE
September 2021	DATE
February 2022	DATE
6 months	DATE
July 2021 	DATE
February 2022	DATE
8 months	DATE
February 2020 	DATE
December 2021	DATE
1 year 11 months	DATE
India	GPE
Spacy	ORG
Genism	ORG
Xgboost	GPE
Pytorch	NORP
NLP	ORG
Deep Learning	PERSON
MLOps	ORG
Docker	PERSON
Collaboration Network Analysis	ORG
Python	ORG
d3	CARDINAL
Subject Matter Expert	PERSON
September 2021	DATE
November 2021	DATE
3 months	DATE
the Learning Experience Department	ORG
February 2021	DATE
August 2021	DATE
7 months	DATE
2 years	DATE
July 2018 	DATE
December 2019	DATE
1 year 6 months	DATE
Karnataka	GPE
India	GPE
10	CARDINAL
every day	DATE
500	CARDINAL
Analytics India Magazine's	ORG
Top Data Science Products	ORG
India	GPE
Roles and Responsibilities	WORK_OF_ART
Hive	ORG
Jenkins	ORG
Databricks	PRODUCT
January 2018 - 	DATE
June 2018	DATE
6 months	DATE
3	CARDINAL
5	CARDINAL
India	GPE
an Automated Machine Learning	ORG
Roles	PERSON
Responsibilities	PRODUCT
Engineering	ORG
Automate	PERSON
Jenkins	PERSON
Apache Spark	PERSON
Skelarn	GPE
AWS, Bayesian Optimization	ORG
The Horizon Technologies	ORG
July 2015	DATE
June 2016	DATE
1 year	DATE
Mumbai	GPE
India	GPE
Python Flask	ORG
Aeon	PERSON
November 2014	DATE
July 2015	DATE
9 months	DATE
Mumbai Area	PERSON
India	GPE
Facebook	PRODUCT
PHP	ORG
The Horizon Technologies	ORG
July 2013 	DATE
October 2014	DATE
1 year 4 months	DATE
Mumbai	GPE
India	GPE
5
 
 
	QUANTITY
PHP	ORG
WordPress CMS	PRODUCT
International Institute of Information Technology	ORG
Technology - MTech	ORG
Data Science	PERSON
2016 - 2018	DATE
Babasaheb Ambedkar Technological University	ORG
Lonere - Raigad	PERSON
Information Technology	ORG
2009 - 2013	DATE
Vidyalaya Shahapur	PERSON
Thane	PERSON
Maharashtra	ORG
2004 - 2009	DATE
5	CARDINAL
5	CARDINAL
