English	LANGUAGE
French	NORP
Italian	NORP
Margherita Della Valle	PERSON
Vodafone	ORG
London	GPE
England	GPE
United Kingdom	GPE
29 years 3 months	DATE
January 2023	DATE
7 months	DATE
Group CFO	PERSON
July 2018 	DATE
5 years 1 month	DATE
Group CFO	PERSON
July 2015	DATE
July 2018	DATE
3 years 1 month	DATE
November 2010	DATE
June 2015	DATE
4 years 8 months	DATE
Europe	LOC
April 2007	DATE
November 2010	DATE
3 years 8 months	DATE
May 1994	DATE
March 2007	DATE
12 years 11 months	DATE
Bocconi	PERSON
Economics	ORG
International Economics	ORG
1983	DATE
1988	DATE
1	CARDINAL
1	CARDINAL
